,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,IsPUD,IsNearNegativeCondition,IsNearPositiveCondition,NumFloors,Collapse_MSSubClass,Combine_BathroomsBsmt,Combine_BathroomsAbvGrd,AllBathrooms,Combine_Age,IsRenovated,LogSalePrice
0,909176150,856,126000,Dwelling_30,RL,66,7890,2,0,4,Lvl,4,Corner,3,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,3,3,1,3,238,1,0,618,856,GasA,3,Y,SBrkr,856,0,0,1,0,1,0,2,1,3,4,8,1,4,Detchd,1939,Unf,2,399,3,3,3,0,0,0,0,166,0,0,NoFence,NoMisc,0,March,Yr_2010,WD ,Normal,FALSE,FALSE,FALSE,1,Traditional,1,1,2,60,TRUE,11.74403719
1,905476230,1049,139500,Dwelling_120,RL,42,4235,2,0,4,Lvl,4,Inside,3,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149,4,3,CBlock,4,3,2,6,552,5,393,104,1049,GasA,3,Y,SBrkr,1049,0,0,1,0,2,0,2,1,4,5,8,0,0,Attchd,1984,Fin,1,266,3,3,3,0,105,0,0,0,0,0,NoFence,NoMisc,0,February,Yr_2009,WD ,Normal,TRUE,FALSE,FALSE,1,Traditional,1,2,3,25,FALSE,11.84581988
2,911128020,1001,124900,Dwelling_30,C (all),60,6060,2,0,4,Lvl,4,Inside,3,IDOTRR,Norm,Norm,1Fam,1Story,5,9,1930,2007,Hip,CompShg,MetalSd,MetalSd,None,0,4,3,BrkTil,3,3,1,5,737,1,0,100,837,GasA,5,Y,SBrkr,1001,0,0,0,0,1,0,2,1,4,5,8,0,0,Detchd,1930,Unf,1,216,3,1,1,154,0,42,86,0,0,0,NoFence,NoMisc,0,November,Yr_2007,WD ,Normal,FALSE,FALSE,FALSE,1,Traditional,0,1,1,0,TRUE,11.7352687
3,535377150,1039,114000,Dwelling_70,RL,80,8146,2,0,4,Lvl,4,Corner,3,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,0,4,4,BrkTil,2,3,1,1,0,1,0,405,405,GasA,4,Y,SBrkr,717,322,0,0,0,1,0,2,1,3,6,8,0,0,Detchd,1940,Unf,1,281,3,3,1,0,0,168,0,111,0,0,NoFence,NoMisc,0,May,Yr_2009,WD ,Normal,FALSE,FALSE,FALSE,2,Traditional,0,1,1,6,TRUE,11.64395373
4,534177230,1665,227000,Dwelling_60,RL,70,8400,2,0,4,Lvl,4,Inside,3,NWAmes,Norm,Norm,1Fam,2Story,8,6,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,1,6,643,1,0,167,810,GasA,5,Y,SBrkr,810,855,0,1,0,2,1,3,1,4,6,8,0,0,Attchd,2001,Fin,2,528,3,3,3,0,45,0,0,0,0,0,NoFence,NoMisc,0,November,Yr_2009,WD ,Normal,FALSE,FALSE,FALSE,2,Traditional,1,2.5,3.5,8,FALSE,12.3327053
5,908128060,1922,198500,Dwelling_85,RL,64,7301,2,0,4,Lvl,4,Corner,3,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500,4,3,Slab,0,0,0,0,0,0,0,0,0,GasA,5,Y,SBrkr,495,1427,0,0,0,3,0,4,1,4,7,8,1,5,BuiltIn,2003,RFn,2,672,3,3,3,0,0,177,0,0,0,0,NoFence,NoMisc,0,July,Yr_2009,ConLD,Normal,FALSE,FALSE,FALSE,1.5,Split,0,3,3,6,FALSE,12.19854438
6,902135020,936,93000,Dwelling_20,RM,60,6000,2,2,4,Bnk,4,Inside,2,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0,2,3,CBlock,2,3,1,1,0,1,0,936,936,GasA,3,N,SBrkr,936,0,0,0,0,1,0,2,1,3,4,6,0,0,Detchd,1974,Unf,2,576,3,3,3,0,32,112,0,0,0,0,NoFence,NoMisc,0,February,Yr_2009,WD ,Normal,FALSE,FALSE,FALSE,1,Traditional,0,1,1,56,FALSE,11.44035477
7,528228540,1246,187687,Dwelling_20,RL,53,3710,2,0,4,Lvl,4,Inside,3,Blmngtn,Norm,Norm,1Fam,1Story,7,5,2007,2008,Gable,CompShg,WdShing,Wd Shng,BrkFace,20,4,3,PConc,4,3,4,1,0,1,0,1146,1146,GasA,5,Y,SBrkr,1246,0,0,0,0,2,0,2,1,4,5,8,1,4,Attchd,2007,Fin,2,428,3,3,3,100,24,0,0,0,0,0,NoFence,NoMisc,0,March,Yr_2008,New,Partial,FALSE,FALSE,FALSE,1,Traditional,0,2,2,0,TRUE,12.14253096
8,923426010,889,137500,Dwelling_20,RL,74,12395,2,0,4,Lvl,4,Corner,3,Mitchel,Norm,Norm,1Fam,1Story,5,6,1984,1984,Gable,CompShg,HdBoard,Plywood,None,0,3,3,CBlock,3,3,1,5,647,1,0,217,864,GasA,3,Y,SBrkr,889,0,0,0,0,1,0,3,1,3,6,8,0,0,Attchd,1984,Unf,2,484,3,3,3,0,0,0,0,0,0,0,NoFence,NoMisc,0,April,Yr_2008,WD ,Normal,FALSE,FALSE,FALSE,1,Traditional,0,1,1,24,FALSE,11.8313792
9,908186050,1072,140000,Dwelling_180,RM,35,3675,2,0,4,Lvl,4,Inside,3,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,76,3,3,PConc,4,3,4,6,467,1,0,80,547,GasA,5,Y,SBrkr,1072,0,0,1,0,1,0,2,1,4,5,8,0,0,Basment,2005,Fin,2,525,3,3,3,0,44,0,0,0,0,0,NoFence,NoMisc,0,May,Yr_2007,WD ,Normal,TRUE,FALSE,FALSE,2,Split,1,1,2,2,FALSE,11.8493977
